Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-03-10 22:23:56,2024-03-11 20:54:30,UTC-04:00,2024-03-11 11:49:18,2024-03-11 12:06:26,2,16.8,13,17,13,0,0,4,547,89,93,,true
2024-03-10 22:23:56,2024-03-11 20:54:30,UTC-04:00,2024-03-10 22:23:56,2024-03-11 05:55:21,63,15.8,306,449,128,124,54,143,484,9,69,86,false
2024-03-09 20:49:09,2024-03-10 21:23:56,UTC-05:00,2024-03-09 20:49:09,2024-03-10 06:17:02,97,15.9,504,566,258,118,128,62,518,58,88,79,false
2024-03-08 21:16:21,2024-03-09 20:49:09,UTC-05:00,2024-03-08 21:16:21,2024-03-09 06:41:17,80,14.6,457,563,284,137,36,106,574,116,81,77,false
2024-03-08 00:05:30,2024-03-08 21:16:21,UTC-05:00,2024-03-08 00:05:30,2024-03-08 06:16:00,55,14.8,284,349,163,81,40,65,516,39,81,61,false
2024-03-06 21:09:48,2024-03-08 00:05:30,UTC-05:00,2024-03-06 21:09:48,2024-03-07 05:47:05,88,14.7,450,515,234,102,114,65,511,54,88,86,false
2024-03-05 20:55:18,2024-03-06 21:09:48,UTC-05:00,2024-03-05 20:55:18,2024-03-06 05:44:59,80,14.0,443,529,220,85,138,86,551,61,84,76,false
2024-03-04 21:24:39,2024-03-05 20:55:18,UTC-05:00,2024-03-04 21:24:39,2024-03-05 05:46:34,77,14.6,411,499,237,83,91,88,535,73,82,74,false
2024-03-03 21:27:27,2024-03-04 21:24:39,UTC-05:00,2024-03-03 21:27:27,2024-03-04 05:17:03,71,15.0,361,469,199,101,61,108,509,26,76,74,false
2024-03-02 23:19:43,2024-03-03 21:27:27,UTC-05:00,2024-03-02 23:19:43,2024-03-03 07:49:55,89,15.5,427,510,258,96,73,83,479,0,84,66,false
2024-03-01 21:46:03,2024-03-02 23:19:43,UTC-05:00,2024-03-01 21:46:03,2024-03-02 07:16:06,100,16.5,523,564,271,111,141,41,499,39,92,80,false
2024-02-29 21:48:08,2024-03-01 21:46:03,UTC-05:00,2024-02-29 21:48:08,2024-03-01 05:56:58,84,14.6,419,486,252,99,68,67,498,40,86,92,false
2024-02-28 21:27:00,2024-02-29 21:48:08,UTC-05:00,2024-02-28 21:27:00,2024-02-29 05:55:38,85,15.5,447,506,261,84,102,59,529,70,88,91,false
2024-02-27 21:00:51,2024-02-28 21:27:00,UTC-05:00,2024-02-27 21:00:51,2024-02-28 05:54:52,71,14.6,348,534,210,67,71,186,489,0,65,89,false
2024-02-26 21:05:29,2024-02-27 21:00:51,UTC-05:00,2024-02-26 21:05:29,2024-02-27 05:59:59,100,17.0,483,529,315,85,83,46,458,0,91,82,false
2024-02-25 21:36:24,2024-02-26 21:05:29,UTC-05:00,2024-02-25 21:36:24,2024-02-26 05:55:36,100,15.7,467,498,309,88,70,31,458,0,93,79,false
2024-02-24 20:15:42,2024-02-25 21:36:24,UTC-05:00,2024-02-24 20:15:42,2024-02-25 06:30:07,100,15.3,511,613,273,133,105,102,461,0,83,69,false
2024-02-23 21:08:27,2024-02-24 20:15:42,UTC-05:00,2024-02-23 21:08:27,2024-02-24 06:57:41,100,15.1,490,589,304,122,64,99,471,69,83,64,false
2024-02-22 23:26:51,2024-02-23 21:08:27,UTC-05:00,2024-02-23 15:41:36,2024-02-23 16:47:56,11,17.4,56,66,41,0,15,10,527,69,89,,true
2024-02-22 23:26:51,2024-02-23 21:08:27,UTC-05:00,2024-02-22 23:26:51,2024-02-23 06:06:39,70,15.1,333,397,209,74,50,64,473,14,87,68,false
2024-02-21 21:38:18,2024-02-22 23:26:51,UTC-05:00,2024-02-21 21:38:18,2024-02-22 06:08:33,95,16.6,456,505,290,73,93,49,479,19,91,79,false
2024-02-20 20:31:37,2024-02-21 21:38:18,UTC-05:00,2024-02-20 20:31:37,2024-02-21 05:58:55,92,15.0,452,562,312,61,79,110,492,0,86,76,false
2024-02-19 20:50:35,2024-02-20 20:31:37,UTC-05:00,2024-02-19 20:50:35,2024-02-20 06:14:09,100,14.6,469,551,330,77,62,82,458,0,85,74,false
